id,screenname,name,verified,desc,favorites_ct,followers_ct,friends_ct,tweets_ct,type
17379905,83827,83827,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,70,73,200,1
17382505,49051,49051,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,62,63,272,1
17386166,45338,45338,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,71,78,315,1
17386408,59318,59318,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,13,0,444,1
17386507,56525,56525,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,11,3,533,1
17395589,AccessToMedia,Access To Media,False,"Creative solutions. Real Results. No Agency Fees.

Call us for a FREE consultation/866.612.0034",105,415,643,347,1
17403528,72123,72123,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,2,0,870,1
17403854,15019,15019,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,11,7,913,1
17405727,73624,73624,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,7,4,396,1
17419144,56680,56680,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,16,8,349,1
17433892,37145,37145,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,72,72,276,1
17434605,67146,67146,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,63,62,919,1
17435941,38869,38869,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,10,3,230,1
17438103,67468,67468,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,72,73,344,1
17440180,71066,71066,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,7,6,178,1
17440264,49666,49666,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,15,0,158,1
17459855,72415,72415,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,53,54,482,1
17461540,43766,43766,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,91,89,206,1
17461687,textatrack,TEXT A TRACK,False,Let fans buy your music on the spot with a simple text message with TEXT A http://t.co/WIwavb4yR9. Now UK Chart Registered.,0,260,410,452,1
17462954,30904,30904,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,12,0,563,1
17478293,AllCarsElectric,AllCarsElectric,False,We are now part of @GreenCarReports. Be sure to follow it for all the latest green automotive news and reviews.,0,4135,3810,3539,1
17490169,58532,58532,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,9,0,554,1
17555219,77954,77954,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,3,1,189,1
17555899,27608,27608,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,61,64,2154,1
17556324,67152,67152,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,93,113,1299,1
17585700,75862,75862,False,TwitZip: Building a Twitter Zip Code Infrastructure for Consistent Public Use,0,63,67,133,1
17662982,alceevents,Vanessa Alce,False,"Wedding, Corporate and Social Event Management",0,240,249,679,1
18064246,crosswinds,CrossWinds Church,False,"to Know, Love, and Reflect Jesus in our communities and world.",60,249,11,564,1
18083793,thewatercoolers,thewatercoolers,False,The comedy group that sings! Award Winning Event Entertainment.,121,182,287,405,1
18251122,VipBinary007,VipBinary,False,"binary options, free binary options system,binary options software,  forex trading robots, softwares, systems, signals, courses and much more....",41,1238,1988,17332,1
18252796,AAPOR,AAPOR,False,The leading association of public opinion and survey research professionals in the United States,2,2736,104,900,1
18309197,fmsinc,fmsinc,False,"Microsoft Access, SQL Server, Visual Studio .NET, LightSwitch, ASP, C#, mobile consulting services, products, add-ins, libraries, and developer tools",0,270,223,1139,1
18556585,CNWBanking,CNWBanking,False,"News about the banking and financial industry, via CNW Group. Contact: CNW Group Ltd., RBC WaterPark Place, 88 Queens Quay West, Suite 3000, Toronto, ON M5J 0B8",0,857,0,35616,1
18628039,CouponCircle,CouponCircle,False,"Shop with http://t.co/Jo8qXbDPJO listed online discount coupons, coupon codes, coupon deals, coupon offers, coupon savings, free shipping coupons and save.",0,161,600,1303,1
18666525,the_daily_green,TheDailyGreen.com,False,The consumer's guide to the green revolution,1,56642,7814,5930,1
18791013,PartyBooths,Party Booths,False,"Unforgettable fun! Photo booths are the latest trend in Weddings, and other grand occasions. Visit partybooths.com today to lock in your all inclusive low rate!",0,674,1939,147,1
18817450,NAIMA_SLS,Uwe Wolff,False,Litigation-PR: It is Your right to be heard in court. But not only there!,74,162,138,1513,1
18883747,SCCyourCollege,SCC Comm College,False,"Campus Events, News and Updates from Spartanburg Community College: a two-year community college in South Carolina",23,1992,639,2063,1
18999229,realradioxs,Real Radio XS,False,This is Manchester's only classic rock station 106.1fm.,763,12503,1354,6059,1
18999763,CBCTrending,CBC Trending,True,"^mb @MichaelBolen, ^jb @johnbowman ^lo @laurenonizzle",1675,15089,2612,53616,1
19140046,abaubiglass,Graziano Abadini,False,"We are a young Venetian, which operates in industries with its Venetian www.abaubiglass.com   We operate in the field of shopping online, we offer the drop ship",2,67,22,551,1
19234590,yyctwestival,Calgary Twestival,False,Calgary's Twitter Festival.,1,2218,233,504,1
19397341,streetcarwines,Streetcar,False,2014 Best of Boston - Best Wine Shop - Boston Magazine,365,1305,519,2322,1
19407554,tatvic,Tatvic,False,"People, Pageviews, conversion, events... 'Cuz when we say web analytics, it's all about them.",29,648,235,2155,1
19531207,iloveheatonmoor,I Love Heaton Moor,False,"Do You Love Heaton Moor?  Spread The Love!  Promoting everything Heaton Moor has to offer.
#HeatonMoor
 http://t.co/GS01GgzoAs",873,2908,853,3804,1
19662404,PureCountry,PureCountryMusic,False,"We love Classic Country Music. You know, the artists that started it all and the one's that have kept real country music alive.",0,2948,973,697,1
19725169,GothamAutoWorks,Gotham Auto Works,False,"Making The World Shine, One Car At A Time.",0,485,430,639,1
19796265,patbinc,TwitteBuy,False,"We eat and sleep sales, we dream sales and we live sales. We are passionate about sales, that's what we do every day, 24/7. Create & let us do what we do best.",0,992,1584,1128,1
19852484,ArtsMemphis,ArtsMemphis,False,Raising funds to ensure excellence in the arts and build a vibrant cultural community for everyone.,554,9796,5764,3317,1
19857350,InspiredCompany,InspiredCompany,False,Multi-discipline design consultancy offers print and website design,4,146,151,291,1
19883353,ShopHedonism,Shop Hedonism,False,"http://t.co/ehS53mTSg5 offers an endless variety of sex toys, adult costumes, lingerie, novelties and bondage items to enhance your sexual desires.",1,291,161,217,1
19977809,SimpleNQ,Simple Bar & Kitchen,False,"Relaxed bar & restaurant. Open Mon-Thurs 11:30am-11pm, Fri 11:30am-1am, Sat 10:30am-1am, Sun 10:30am-11pm. Part of The @HouseAdventure Group. 01618328764",294,5774,825,4084,1
20040538,TheLordNelson,The Lord Nelson,False,"The pub you always wished was on your street. 4 real ales, fresh food, garden, sport, good vibes & great times. Tweets by @richcompo",19,1514,721,2232,1
20052491,v2media,V2-Media,False,"We are the music makers, and we are the dreamers of dreams. Interactive Media Design V2-Media.",0,147,140,287,1
20216848,AngiomaAlliance,Angioma Alliance,False,"Organization for those affected by cavernous angiomas. We inform, support and empower patients and drive research for a cure.",124,339,168,402,1
20595084,Didriks190,Didriks,False,"Tableware, home decor, and outdoor furniture store in Cambridge, MA, and @themillatNLF. @localroot1 is our kitchen counterpart! Superb designs for every home.",144,1378,1769,2658,1
20629728,academe_atl_hs,Academe of the Oaks,False,"Academe of the Oaks is an independent, non-sectarian, co-educational high school in Decatur, Georgia. Rooted in the international Waldorf tradition",13,361,557,1261,1
20667354,WritingJobsinLA,Writing Jobs in La,False,Hottest and Highest Paid Writing Jobs in Los Angeles. Delivered every few hours.,0,105,6,602,1
20684882,HomestretchVA,Homestretch,False,Homestretch provides housing and comprehensive services to help homeless families with children in Virginia to rebuild their lives.,75,389,323,429,1
20724267,DiggingIntoData,Digging Into Data,False,"Updates about the Digging into Data Challenge, an international research competition to develop big data analysis methods for humanities & social sciences.",3,1939,0,287,1
20778253,KentStateStark,Kent State Stark,False,News and information for the Kent State Stark community.,205,2494,496,2104,1
20794625,SimplyEssential,Simply Essential UK,False,"Small family business specialising in aromatherapy, essential oils and natural alternatives.",16,1429,911,2961,1
20831999,tmj_nyc_banking,NYC Banking Jobs,False,"Follow this account for geo-targeted Banking job tweets in New York, NY from TweetMyJobs. Need help? Tweet us at @TweetMyJobs!",0,648,322,130,1
20852569,infoadvantage,Anderson Analytics,False,"Anderson Analytics - A Next Gen Market Research Firm
CEO Tom H C Anderson
(@TomHCAnderson)
http://t.co/E8T2qzhEfl
http://t.co/LymgNrFIw8",661,37837,40980,1394,1
20996704,mySA_DVDExtra,MySA DVD Extra,False,Harry Thomas and guests review DVDs & their bonus features for http://t.co/nOBSsowSf0,0,104,25,822,1
21032777,poppyorjewelry,POPPYOR,False,"Stories told... Deigns unfold. ||  Jewelry Collections, Custom Design and Heirloom Evolution  ||  Instagram-Facebook-Pinterest-Tumblr @POPPYORJEWELRY",22,179,424,1909,1
21082749,Valentinemusic,Valentinemusic,False,Valentine Music can offer a one-stop shop for licensing both the publishing and master recordings on a wide range of the Dave Brubeck jazz catalogue,4,285,402,120,1
21104725,OfficeMax,OfficeMax Inc.,True,"Inspiring style, organization and creativity in the workplace.",87,28781,2632,4896,1
21299778,cftrust,CysticFibrosis Trust,True,"The Cystic Fibrosis Trust is here to beat cystic fibrosis and make a daily difference to the lives of people with the condition, it is a fight we must win..",519,17684,4541,9358,1
21310555,TripAustin,Chris Austin,False,Follow TripAustin for the best in travel and new destinations around the globe.,2,310,244,370,1
21365817,MLSA,MT Legal Services,False,"Providing, protecting, and enhancing Montanans' access to justice.",16,718,149,575,1
21427192,orangecurtains,orangecurtains,False,Hard Rock 4 the 21st century. We are revamping our setlist currenlty and play cover to kill time and tweeting on things that rock,0,83,184,213,1
21437260,GSHumaneSociety,GSHumaneSociety,False,Caring for Homeless and Abandoned Animals Since 1972.,0,783,778,9177,1
21604059,indiecraftshows,Indie Craft Shows,False,News and Reviews of craft shows across the world! We're a public directory of awesome shows.,0,7190,1111,189,1
21772641,liveoakplga,Live Oak Public Lib,False,"Live Oak Public Libraries, serving Chatham, Effingham & Liberty Counties in beautiful, coastal Georgia. http://t.co/fmMlBKTO",1743,3123,1580,7259,1
21780239,BigfootLax,Bigfoot Lacrosse,False,Largest Lacrosse Store West of the Rockies,0,1909,194,871,1
21799433,kickel,Graham Kickel,False,,288,1091,1336,3099,1
21813268,fc_schalke_04,FC Schalke 04,False,Unofficial FC Schalke 04 news & updates. Powered by @FootyTweets,0,1011,3,605,1
21834788,NRH2O,NRH2O Waterpark,False,NRH2O Family Waterpark is the family waterpark in the Dallas/Fort Worth Metroplex!,2356,1681,191,2177,1
21850767,UKGear,UK Gear,False,Only when approved by The British Army do we consider our products... built to survive. Follow us on Facebook for our latest news and fantastic competitions!,4,292,104,447,1
22001808,GrowthBusiness,GrowthBusiness,False,"Your gateway to entrepreneurial success. All the news about UK venture capital, entrepreneurs and growth companies. Also on http://t.co/BFcYT3Nf",107,5634,2232,10410,1
22009288,HartlepoolJobs,Hartlepool,False,For more info visit our twitter page on http://www.allthetopbananas.com/twitter,0,125,39,945,1
22054347,momsonpearland,MomsOnPearland.com,False,Busy moms on the go and hip ones in the know,7,1947,2242,599,1
22080515,GreenCarReports,Green Car Reports,False,"The source for info about Green Cars. Get reviews, specs, ratings and pictures for new and used green, electric, smartcars; hybrid vehicles.",0,14325,9400,17909,1
22206817,DWBIA,Downtown Windsor BIA,False,The Downtown Windsor Business Improvement Association,46,3304,190,891,1
22326076,realthread,Real Thread,False,"We screen-print super soft custom shirts, designed by you, that people love to wear & talk about.",1530,2240,1217,6386,1
22472386,SarahShearman36,Learning to Listen,False,"Equine Facilitated Coaching, Networking In Wellies. Love meeting foward thinking people who want to make a difference. Join us at a FREE Taster",8,743,1219,1803,1
22521029,barcodesinc,BarcodesInc,False,Barcodes Inc. is North America's leading provider of specialized digital data hardware solutions. We've served businesses large and small since 1994.,6,651,2001,613,1
22609016,occupancy,Occupancy Marketing,False,"Internet marketing consultancy based in Edinburgh, specialising in the hotel, tourism and travel industry #lovingtravel",85,1284,668,595,1
22640712,PWYPtweets,Publish What You Pay,False,Publish What You Pay (PWYP) is a global network of civil society organisations campaigning for transparency in the extractive industries.,167,5975,418,5812,1
22730856,KGMB9Sports,KGMB9 Sports,False,"This is just KGMB9 Sports' feed, @KGMB9 is our manned account.",0,148,0,416,1
22778587,fochabersgaller,Just Art,False,Showcasing Fine and Applied Arts by artists living and working in Scotland. Established in 1994 so we've been around a while,0,148,140,123,1
22845222,PLMA_USA,PLManufacturers Assn,False,The international trade organization representing the private label industry since 1979. To contact: email info@plma.com or call (212) 972-3131.,204,959,673,675,1
23068470,VPOEventZone,VPO/PR Newswire,False,"VPO, a PR Newswire company, is a leader in content marketing and online press office management. We share event related news and other trade show industry info.",19,3442,1333,6459,1
23346650,KingmanPetDoc,SH Animal Hospital,False,"Stockton Hill Animal Hospital provides the best quality veterinary care for the companion pets of Kingman, Golden Valley, Dolan Springs, and Mohave Co, Arizona.",0,1278,438,2424,1
23406195,uwfcfpa,UWF CFPA,False,"Home to the Departments of Art, Music and Theatre at the University of West Florida",0,299,4,321,1
23506547,theallanhouse,The Allan House,False,"Located in the heart of Downtown Austin, The Allan House is the perfect location for weddings and special events!",69,1959,1413,1466,1
23569828,ozhandmade,OZHandmade.com,False,OZ Handmade is simply it is a collection of creative people who have followed their passion to make and sell their high quality handmade items.,0,191,39,2342,1
23621718,motherducts,Mold Experts,False,we know about MOLD. Questions? Check out our website or ask us on twitter.,0,3903,4574,21098,1
23672650,Cdn_Recruiters,PlatinumStaffing CA,False,"Manufacturer's 1st choice 4 Trades, Engineers and Science",0,509,886,255,1
23679513,cocefbecc,COCEF/BECC,False,Integrating environmental solutions along the U.S.-Mexico Border.,0,150,49,125,1
23821677,Organicality,Organicality,False,"Where Earth Meets Body: Organic and natural fashion, food, skin care and frame of mind.",0,204,100,445,1
23841182,CherryRealtors,Cherry Ruffino Team,False,"Cherry Ruffino Realtors, your Bryan/CS community specialists! Making your move pleasant and rewarding. https://t.co/IoC8qsNWoh",1917,789,1190,2668,1
24203306,accessfay,City of Fayetteville,False,"The official twitter account for the City of Fayetteville, Arkansas.",0,8220,55,5624,1
24257179,AustinKaplan,Kaplan Test Prep,False,"Higher Score. Brighter Future. Elite Teaching. 2270 Guadalupe, UT Drag",0,95,156,173,1
24461134,cantontea,Canton Tea Co,False,"We have the finest, loose leaf Chinese teas and teaware, from award-winning Jasmine Pearls and handmade Dragon Well Green Tea to Glass Tea Infusers.",761,2674,1500,3346,1
24685089,citygirlwedding,Citygirl Events,False,"The Citygirl Events team creates custom wedding, social, and corporate as well as non-profit events. Based in Chicago, available for events worldwide.",145,1098,1184,4346,1
24736682,ABC6NEWS,KAAL TV,True,"ABC affiliate in S MN & N Iowa, covering news/weather/sports in Rochester, Austin, Albert Lea, Mason City",156,8808,369,30578,1
24793492,LightList,Light List,False,Send Light to good works across the planet ... inspired by the ministry and good works of Dr. John-Roger and MSIA | http://t.co/xbQYySn1DD,2,245,15,230,1
24904735,rudrakshapower,Satnarine Rooplal,False,sells only ORIGINAL Rudraksha and Genuine Untreated Gemstones (http://t.co/5GmBmpxh1V),0,1998,1667,6351,1
24911135,retro36,Retro 36,False,"Officially cool since 1974.

Voted Independent Gift Retailer of the Year 2015.",189,949,457,5002,1
24920831,rnrcoffeecafe,R&R Coffee Cafe,False,"a craft coffee Roasterie & home cookin' Restaurant nestled in Black Forest just north of Colorado Springs, Colorado, USA",538,1446,808,4076,1
24960967,ActOneProgram,"Act One, Inc",False,"Act One is an innovative, Christian training program and incubator for writers and producers of mainstream film, television, and digital media.",239,1637,812,1108,1
25221065,AFauske,"Fauske & Assoc., LLC",False,"Fauske & Associates, LLC is the world leader in nuclear, industrial and chemical process safety testing including combustible dust flammability testing",21,83,220,275,1
25301938,flabeachgirly,The Painted Cabana,False,We have closed up shop and hit the road...look for us at different locations now teaching whimsical classes!!!!!,1,105,54,3111,1
25345835,greenforkids,Green for Kids,False,GSON - Connecting schools and community,0,112,79,209,1
25392290,BrewCityHDI,Brew City HDI,False,Brew City IT Service and Support Industry Professionals,1,255,105,245,1
113324625,GamerHeadlines,Gamer Headlines,False,Welcome to Official GamerHeadlines Twitter Page. We bring gamers all the latest news/offers from the gaming world around the clock. We appreciate your support.,1,2783,3294,39591,1
113325198,socioconomy,socioconomy,False,information about the online social economy,0,22,40,113,1
113420004,OneVoiceRVA,One Voice Chorus,False,Singing the beauty & power of diversity. We believe in the power of choral music to bring together people historically separated by racial tensions,6,191,188,196,1
113447517,M4MSeattle,sarah Carlson,False,"Reward courage in human beings battling serious illness by awarding marathon medals to people who have demonstrated similar mettle, or courage.",3,31,40,107,1
113653861,LearnToFlyCA,Learn To Fly,False,LearnToFly Inc. | online publishers | http://t.co/DCkZ7eNG5m | http://t.co/3rZmjsTNX9 Learn To Fly | Be A Pilot,0,212,71,351,1
113950781,AboveTheRealm,ATR Paranormal,False,"We are a paranormal research team located in CT and offer complete, professional paranormal research, investigating and education",0,2093,341,847,1
114340673,elcidresorts,El Cid Resorts,True,"Experience the unique wonders of Mexico as they are meant to be enjoyed through El Cid Group, a collection of authentic, locally owned Mexican beach resorts.",3,1772,273,2033,1
114428324,JCPWestLondon,West London District,False,Welcome to the official Twitter account for all Jobcentre Plus Offices in West #London. #WestWorks #DWProud,86,2387,1057,1123,1
114520241,HansonCapital,Hanson Capital Group,False,"Hanson Capital Group is an Arizona hard money lender. We provide private, asset based alternative loans to individuals looking for no hassle funding.",0,2799,2829,2021,1
114565660,burglaralarm123,V. Smith,False,Home Alarms and Burglar Alarms.  Home Monitoing Alarm ystems.,0,554,1690,202,1
114775407,AmberAlert4Pets,Amber Alert for Pets,False,We are an internet-based community of pet lovers who find and return pets safely home.,0,1504,1390,1242,1
114810465,UpstateHomeless,UHCSC,False,The official Twitter account for Upstate Homeless Coalition of South Carolina. UHCSC Mission: To eliminate homelessness in the upstate.,1,257,281,247,1
114907985,clubsonicaclub,CLUBSONICA,False,Electronic Music Events / Label / Radio Show. Send your demos/promos to clubsonicaclub@gmail.com,35,441,249,2360,1
114961795,BackslashStudio,Nina,False,"HIRING DESIGNERS - Toronto design studio is hiring passionate and driven people, we have lots fun but take our work very seriously. Tremendous room for growth!",2,103,107,361,1
115405329,solusuk,Solus UK Ltd,False,"SOLUS is a Digital Communications company. Clients use our CMS to broadcast their info to Digital Signage, the Web, their Mobile Apps and Social Media.",1231,2138,2179,6963,1
116012581,We_Amplify_You,"Amplification, Inc.",False,"Amplification, Inc. is #socialmediamarketing #videoproduction and #digitalmedia #Miami #FortLauderdale #Weston #Davie #Naples #FortMyers run by @Marnieg33",3,4062,4138,28305,1
116031894,DotNetNukeWeb,DotNetNukeWebHosting,False,Want info on Dot Net Nuke web hosting? We have a free site all about Don Net Nuke web hosting. Come see us today.,0,798,1951,302,1
116322786,tabithafashion,tabithang,False,We don't do fashion. We are fashion.     Follow us for must-have items.,6225,904,113,2337,1
116406845,REI_Press,REI Press Releases,False,Welcome to the business world of renewable energy and to the global center of the international Renewable Energy Industry with current Press Releases.,0,188,294,689,1
116421456,GladePrimary,Glade Primary School,False,"We are a friendly two form entry primary school in Clayhall, Ilford, Essex.",35,1505,16,329,1
116465223,TeletovicNews,Teletovic News,False,This account is not affiliated with Mirza Teletovic.,0,1777,716,718,1
116889095,ApogeeResults,Apogee Results,False,"Our Business is your Results. We use SEO, PPC, Social Media, & other online tactics to deliver more sales and revenue to your business - call us: 512.381.7000.",18,914,892,1315,1
117376676,researchinfo,Research Information,False,Research Information magazine/website Twitter feed #libraries #publishing #research #data #information #access #ebooks Free registration. editor: @TimGillett00,461,5170,3138,8477,1
117469617,Annabelles_Wigs,Annabelles Wigs,False,"Annabelle's Wigs: spreading cheer across the world with our wigs, 3/4 wigs, extensions, brights, dip dye, with a celebrity following.",3450,11138,771,20149,1
117766894,twinkletap,Twinkle Tap,False,"Web design, development & consulting agency based in Croatia. 
Our tweets brought to you by @markoprljic.
*sparkling*",7,76,41,122,1
117822809,igsupplies,IG Digital Supplies,False,IG sells a wide range of items for the print and sign industries.,0,189,626,708,1
118486967,bieber_news1,Bieber News1,False,"Everything you want to know about your favorite artist.

NEWS : NEW TRACKS : LINKS",0,2060,2847,4961,1
